"instrument_id","category","instrument_ru","measures","unit","range_hint","resolution_hint","calibration_method","reference_required","interval","storage","maintenance","failure_signs","safety_class","prohibited_use","spare_strategy","manual_package_id","status","release_version"
"INS-064","NAVIGATION","оптический нивелир/рейка","перепад высоты","mm|m","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","two-peg test and closure","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","штатив вне движения/краёв; не смотреть на Солнце","water level for small safe tasks","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-065","COMPUTING","два независимых hash-инструмента","fixity","SHA-256","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","test vectors and cross-tool comparison","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S0_OBSERVE_READ","hash не доказывает безопасность/правдивость содержимого","printed checksums and alternate OS","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-066","COMPUTING","offline clock/source-of-truth appliance","время/version","UTC/ISO-8601","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","compare against multiple sources before disconnect","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не считать время юридически прослеживаемым без соответствующей службы","mechanical/quartz logs","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-067","ARCHIVE","оптический/штрихкод сканер","идентификатор","text/check digit","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known test sheet and checksum validation","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не кодировать секреты в открытые labels","manual typed ID","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-068","ARCHIVE","документ-сканер","изображение/OCR","dpi|pixel","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","resolution target, color/scale card and page-count reconciliation","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","контроль приватности и повреждения оригинала","camera rig + flatbed","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-069","ARCHIVE","USB/SATA write blocker","read-only acquisition","pass/fail","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","known writable test device before/after","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не считать бытовой адаптер forensic-grade без проверки","read-only media/copy-on-write workflow","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-070","ARCHIVE","printer with archival workflow","печатный вывод","dpi/page","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","test target, page count and visual comparison","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","вентиляция, расходники, персональные данные","второй print path/ручная копия core","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-071","SAFETY","штатный детектор дыма","smoke alarm","alarm/pass-fail","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","test button and replacement date; aerosol only if manufacturer allows","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не тестировать огнём/дымом вне инструкции","несколько detectors по плану","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-072","SAFETY","штатный детектор утечки воды","water alarm","alarm/pass-fail","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","test probe with clean water per manual","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не помещать электронику вне rated environment","несколько points + visual checks","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-073","SAFETY","RCD/GFCI tester approved for jurisdiction","защитное отключение","ms/pass-fail","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","только штатная test function/qualified inspection","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S3_LICENSED_PROFESSIONAL","не вскрывать щит и не создавать fault; интерпретация установки — электрик","built-in test + professional schedule","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
